use_rep,CAS,method,seed,sample
Our_emb_seed3,0.6283655920743981,Glimmer,seed3,1
Our_emb_seed3,0.9117162757314567,Glimmer,seed3,5
Our_emb_seed3,0.9093720582039688,Glimmer,seed3,2
Our_emb_seed4,0.9190992256794752,Glimmer,seed4,3
Our_emb_seed4,0.6102932511283118,Glimmer,seed4,1
Our_emb_seed4,0.9042590264127828,Glimmer,seed4,2
Our_emb_seed4,0.9010665580278282,Glimmer,seed4,5
Our_emb_seed4,0.902793671048146,Glimmer,seed4,4
Our_emb_seed5,0.8956988504388828,Glimmer,seed5,5
Our_emb_seed5,0.5782330769717887,Glimmer,seed5,1
Our_emb_seed5,0.8982861837152413,Glimmer,seed5,4
Our_emb_seed5,0.913144854555789,Glimmer,seed5,2
Our_emb_seed5,0.9083705777207814,Glimmer,seed5,3
SCANIT_emb_seed1,0.651939305156288,SCANIT,seed1,1
SCANIT_emb_seed1,0.7207464477040628,SCANIT,seed1,2
SCANIT_emb_seed1,0.7492614480022988,SCANIT,seed1,3
SCANIT_emb_seed1,0.7982161430395923,SCANIT,seed1,4
SCANIT_emb_seed1,0.7999735612888589,SCANIT,seed1,5
SCANIT_emb_seed2,0.8011830399328601,SCANIT,seed2,5
SCANIT_emb_seed2,0.7167739775110005,SCANIT,seed2,3
SCANIT_emb_seed2,0.7391379719639892,SCANIT,seed2,2
SCANIT_emb_seed2,0.6386367199594482,SCANIT,seed2,1
SCANIT_emb_seed2,0.7145293339244636,SCANIT,seed2,4
SCANIT_emb_seed3,0.6082755510211735,SCANIT,seed3,2
SCANIT_emb_seed3,0.6284092049604352,SCANIT,seed3,1
SCANIT_emb_seed3,0.7818282416244686,SCANIT,seed3,5
SCANIT_emb_seed3,0.7485179062467402,SCANIT,seed3,3
SCANIT_emb_seed3,0.7335224104675497,SCANIT,seed3,4
SCANIT_emb_seed4,0.8789369438799788,SCANIT,seed4,5
SCANIT_emb_seed4,0.7745429229329704,SCANIT,seed4,3
SCANIT_emb_seed4,0.7854199360840792,SCANIT,seed4,4
SCANIT_emb_seed4,0.7852300929898737,SCANIT,seed4,2
SCANIT_emb_seed4,0.6742529701577153,SCANIT,seed4,1
SCANIT_emb_seed5,0.6915437541351313,SCANIT,seed5,1
SCANIT_emb_seed5,0.763040855305962,SCANIT,seed5,3
SCANIT_emb_seed5,0.8087386277615694,SCANIT,seed5,4
SCANIT_emb_seed5,0.699642181301102,SCANIT,seed5,2
SCANIT_emb_seed5,0.7920062171750224,SCANIT,seed5,5
SpaceFlow_emb_seed1,0.4963773337527524,SpaceFlow,seed1,4
SpaceFlow_emb_seed1,0.2314192974028345,SpaceFlow,seed1,2
SpaceFlow_emb_seed1,0.2509256142174445,SpaceFlow,seed1,1
SpaceFlow_emb_seed1,0.5375273826412771,SpaceFlow,seed1,5
SpaceFlow_emb_seed1,0.3106231031811534,SpaceFlow,seed1,3
SpaceFlow_emb_seed2,0.4251271282334464,SpaceFlow,seed2,3
SpaceFlow_emb_seed2,0.49320421309967,SpaceFlow,seed2,4
SpaceFlow_emb_seed2,0.3346970841843073,SpaceFlow,seed2,1
SpaceFlow_emb_seed2,0.4682846387982606,SpaceFlow,seed2,5
SpaceFlow_emb_seed2,0.2720070988759469,SpaceFlow,seed2,2
SpaceFlow_emb_seed3,0.2645080483206874,SpaceFlow,seed3,2
SpaceFlow_emb_seed3,0.376880062003153,SpaceFlow,seed3,5
SpaceFlow_emb_seed3,0.6581228308670772,SpaceFlow,seed3,4
SpaceFlow_emb_seed3,0.330774114830805,SpaceFlow,seed3,1
SpaceFlow_emb_seed3,0.2821074294168751,SpaceFlow,seed3,3
SpaceFlow_emb_seed4,0.2884104877878668,SpaceFlow,seed4,3
SpaceFlow_emb_seed4,0.6585192072973014,SpaceFlow,seed4,5
SpaceFlow_emb_seed4,0.2916000641453373,SpaceFlow,seed4,2
SpaceFlow_emb_seed4,0.4007580725838199,SpaceFlow,seed4,4
SpaceFlow_emb_seed4,0.2276948741919272,SpaceFlow,seed4,1
SpaceFlow_emb_seed5,0.3705911415491998,SpaceFlow,seed5,2
SpaceFlow_emb_seed5,0.5138968473111695,SpaceFlow,seed5,5
SpaceFlow_emb_seed5,0.2989631484578114,SpaceFlow,seed5,3
SpaceFlow_emb_seed5,0.2983656120651946,SpaceFlow,seed5,1
SpaceFlow_emb_seed5,0.404797100981876,SpaceFlow,seed5,4
SPIN_emb_seed1,0.3461870202261389,SPIN,seed1,3
SPIN_emb_seed1,0.3846935280194398,SPIN,seed1,4
SPIN_emb_seed1,0.4000111948546192,SPIN,seed1,1
SPIN_emb_seed1,0.2438120372436615,SPIN,seed1,5
SPIN_emb_seed1,0.5015411904257765,SPIN,seed1,2
SPIN_emb_seed2,0.2815323958268154,SPIN,seed2,5
SPIN_emb_seed2,0.4756701727810116,SPIN,seed2,2
SPIN_emb_seed2,0.3217258667215497,SPIN,seed2,3
SPIN_emb_seed2,0.3133345219669631,SPIN,seed2,4
SPIN_emb_seed2,0.4212231461319444,SPIN,seed2,1
SPIN_emb_seed3,0.3539283065023723,SPIN,seed3,3
SPIN_emb_seed3,0.5763280338076403,SPIN,seed3,2
SPIN_emb_seed3,0.3200466685148833,SPIN,seed3,4
SPIN_emb_seed3,0.2279912072238096,SPIN,seed3,5
SPIN_emb_seed3,0.3934206086329429,SPIN,seed3,1
SPIN_emb_seed4,0.5441859796762567,SPIN,seed4,2
SPIN_emb_seed4,0.412273238419617,SPIN,seed4,4
SPIN_emb_seed4,0.3564226866692084,SPIN,seed4,3
SPIN_emb_seed4,0.2939567227770555,SPIN,seed4,5
SPIN_emb_seed4,0.3680058238454601,SPIN,seed4,1
SPIN_emb_seed5,0.5237312814761387,SPIN,seed5,2
SPIN_emb_seed5,0.3697880881688097,SPIN,seed5,1
SPIN_emb_seed5,0.2370474176452713,SPIN,seed5,5
SPIN_emb_seed5,0.3482340115063134,SPIN,seed5,3
SPIN_emb_seed5,0.3555298390977438,SPIN,seed5,4
