data_num,Embedding,Model,Metric,Cluster Number,Value
0,Banksy_emb_seed3,Banksy,Completeness,10,0.5986996949850378
0,Banksy_emb_seed3,Banksy,Homogeneity,6,0.500379855769951
0,Banksy_emb_seed3,Banksy,Homogeneity,8,0.6415902133278998
0,Banksy_emb_seed3,Banksy,Homogeneity,10,0.6748882276766024
0,Banksy_emb_seed3,Banksy,NMI,6,0.5456308546116447
0,Banksy_emb_seed3,Banksy,NMI,8,0.6144719500927577
0,Banksy_emb_seed3,Banksy,NMI,10,0.6345150874461014
0,Banksy_emb_seed4,Banksy,ARI,6,0.3835901050407125
0,Banksy_emb_seed4,Banksy,ARI,8,0.4237639767818547
0,Banksy_emb_seed4,Banksy,ARI,10,0.5343596734233713
0,Banksy_emb_seed4,Banksy,Completeness,6,0.5983600562539264
0,Banksy_emb_seed4,Banksy,Completeness,8,0.5696039097072829
0,Banksy_emb_seed4,Banksy,Completeness,10,0.6004618314181202
0,Banksy_emb_seed4,Banksy,Homogeneity,6,0.5006487475268558
0,Banksy_emb_seed4,Banksy,Homogeneity,8,0.5839523509683374
0,Banksy_emb_seed4,Banksy,Homogeneity,10,0.6771409799277361
0,Banksy_emb_seed4,Banksy,NMI,6,0.5451607151881955
0,Banksy_emb_seed4,Banksy,NMI,8,0.5766888942191916
0,Banksy_emb_seed4,Banksy,NMI,10,0.6365003298092984
0,Banksy_emb_seed5,Banksy,ARI,6,0.3835901050407125
0,Banksy_emb_seed5,Banksy,ARI,7,0.3520137646329422
0,Banksy_emb_seed5,Banksy,ARI,10,0.5343596734233713
0,Banksy_emb_seed5,Banksy,Completeness,6,0.5983600562539264
0,Banksy_emb_seed5,Banksy,Completeness,7,0.5424697583684638
0,Banksy_emb_seed5,Banksy,Completeness,10,0.6004618314181202
0,Banksy_emb_seed5,Banksy,Homogeneity,6,0.5006487475268558
0,Banksy_emb_seed5,Banksy,Homogeneity,7,0.4877505620200454
0,Banksy_emb_seed5,Banksy,Homogeneity,10,0.6771409799277361
0,Banksy_emb_seed5,Banksy,NMI,6,0.5451607151881955
0,Banksy_emb_seed5,Banksy,NMI,7,0.5136569805249351
0,Banksy_emb_seed5,Banksy,NMI,10,0.6365003298092984
0,GraphST_emb_seed1,GraphST,ARI,6,0.2918525236495958
0,GraphST_emb_seed1,GraphST,ARI,8,0.3047353354703577
0,GraphST_emb_seed1,GraphST,ARI,9,0.3581341645390642
0,GraphST_emb_seed1,GraphST,Completeness,6,0.5275974893630182
0,GraphST_emb_seed1,GraphST,Completeness,8,0.5106102591834351
0,GraphST_emb_seed1,GraphST,Completeness,9,0.4657948535268483
0,GraphST_emb_seed1,GraphST,Homogeneity,6,0.4186746454135522
0,GraphST_emb_seed1,GraphST,Homogeneity,8,0.4469094508330084
0,GraphST_emb_seed1,GraphST,Homogeneity,9,0.5015806818371908
0,GraphST_emb_seed1,GraphST,NMI,6,0.4668671593765106
0,GraphST_emb_seed1,GraphST,NMI,8,0.4766409466755524
0,GraphST_emb_seed1,GraphST,NMI,9,0.4830258605626839
0,GraphST_emb_seed2,GraphST,ARI,6,0.3142548098409002
0,GraphST_emb_seed2,GraphST,ARI,7,0.3466578431793689
0,GraphST_emb_seed2,GraphST,ARI,9,0.3965123138247511
0,GraphST_emb_seed2,GraphST,Completeness,6,0.5154049533657225
0,GraphST_emb_seed2,GraphST,Completeness,7,0.5426458979583875
0,GraphST_emb_seed2,GraphST,Completeness,9,0.5209100664741845
0,GraphST_emb_seed2,GraphST,Homogeneity,6,0.4254008741196164
0,GraphST_emb_seed2,GraphST,Homogeneity,7,0.4753381772555987
0,GraphST_emb_seed2,GraphST,Homogeneity,9,0.5604346427667297
0,GraphST_emb_seed2,GraphST,NMI,6,0.4660977032283003
0,GraphST_emb_seed2,GraphST,NMI,7,0.5067668901923578
0,GraphST_emb_seed2,GraphST,NMI,9,0.5399500169062411
0,GraphST_emb_seed3,GraphST,ARI,5,0.2770849193761754
0,GraphST_emb_seed3,GraphST,ARI,8,0.3424085260075863
0,GraphST_emb_seed3,GraphST,ARI,10,0.3847894642338426
0,GraphST_emb_seed3,GraphST,Completeness,5,0.5367161106017946
0,GraphST_emb_seed3,GraphST,Completeness,8,0.4926234880250916
0,GraphST_emb_seed3,GraphST,Completeness,10,0.5062120014453936
0,GraphST_emb_seed3,GraphST,Homogeneity,5,0.4054893489755165
0,GraphST_emb_seed3,GraphST,Homogeneity,8,0.496507906271445
0,GraphST_emb_seed3,GraphST,Homogeneity,10,0.5614192276795749
0,GraphST_emb_seed3,GraphST,NMI,5,0.4619643498356007
0,GraphST_emb_seed3,GraphST,NMI,8,0.494500431556448
0,GraphST_emb_seed3,GraphST,NMI,10,0.5323882313306495
0,GraphST_emb_seed4,GraphST,ARI,5,0.2785738863965302
0,GraphST_emb_seed4,GraphST,ARI,8,0.3753023781284845
0,GraphST_emb_seed4,GraphST,ARI,9,0.3840840268705175
0,GraphST_emb_seed4,GraphST,ARI,10,0.3898884535183542
0,GraphST_emb_seed4,GraphST,Completeness,5,0.479701379763317
0,GraphST_emb_seed4,GraphST,Completeness,8,0.5066915659824645
0,GraphST_emb_seed4,GraphST,Completeness,9,0.4989993010317582
0,GraphST_emb_seed4,GraphST,Completeness,10,0.4892001116715904
0,GraphST_emb_seed4,GraphST,Homogeneity,5,0.3849071765603863
0,GraphST_emb_seed4,GraphST,Homogeneity,8,0.5171092705112008
0,GraphST_emb_seed4,GraphST,Homogeneity,9,0.5447795380968069
0,GraphST_emb_seed4,GraphST,Homogeneity,10,0.5669909814736594
0,GraphST_emb_seed4,GraphST,NMI,5,0.4271077410149799
0,GraphST_emb_seed4,GraphST,NMI,8,0.5118474154733539
0,GraphST_emb_seed4,GraphST,NMI,9,0.5208854568342651
0,GraphST_emb_seed4,GraphST,NMI,10,0.525230809564409
0,GraphST_emb_seed5,GraphST,ARI,8,0.3711987316726453
0,GraphST_emb_seed5,GraphST,ARI,9,0.3690140126797301
0,GraphST_emb_seed5,GraphST,ARI,10,0.3537178998160286
0,GraphST_emb_seed5,GraphST,Completeness,8,0.5020114166359844
0,GraphST_emb_seed5,GraphST,Completeness,9,0.4700377086683672
0,GraphST_emb_seed5,GraphST,Completeness,10,0.4564422889846238
0,GraphST_emb_seed5,GraphST,Homogeneity,8,0.5003326679299407
0,GraphST_emb_seed5,GraphST,Homogeneity,9,0.5245592372427011
0,GraphST_emb_seed5,GraphST,Homogeneity,10,0.5290654744053978
0,GraphST_emb_seed5,GraphST,NMI,8,0.5009209571678345
0,GraphST_emb_seed5,GraphST,NMI,9,0.4958041002398815
0,GraphST_emb_seed5,GraphST,NMI,10,0.4900780392224371
0,Our_emb_seed1,Glimmer,ARI,5,0.5020133269775299
0,Our_emb_seed1,Glimmer,ARI,7,0.4482080900181391
0,Our_emb_seed1,Glimmer,ARI,9,0.4506536111978393
0,Our_emb_seed1,Glimmer,ARI,10,0.4741654823603106
0,Our_emb_seed1,Glimmer,Completeness,5,0.6436746382343587
0,Our_emb_seed1,Glimmer,Completeness,7,0.5917101698018394
0,Our_emb_seed1,Glimmer,Completeness,9,0.5768589465636823
0,Our_emb_seed1,Glimmer,Completeness,10,0.5645932349150472
0,Our_emb_seed1,Glimmer,Homogeneity,5,0.5382165630143633
0,Our_emb_seed1,Glimmer,Homogeneity,7,0.5826258604528175
0,Our_emb_seed1,Glimmer,Homogeneity,9,0.6303762799111245
0,Our_emb_seed1,Glimmer,Homogeneity,10,0.6451000665167553
0,Our_emb_seed1,Glimmer,NMI,5,0.5862406812471137
0,Our_emb_seed1,Glimmer,NMI,7,0.5871328783886852
0,Our_emb_seed1,Glimmer,NMI,9,0.6024313883386384
0,Our_emb_seed1,Glimmer,NMI,10,0.6021677279150252
0,Our_emb_seed2,Glimmer,ARI,5,0.4404498616754976
0,Our_emb_seed2,Glimmer,ARI,7,0.5580730509993697
0,Our_emb_seed2,Glimmer,ARI,8,0.5485971187966073
0,Our_emb_seed2,Glimmer,ARI,10,0.5238107083964738
0,Our_emb_seed2,Glimmer,Completeness,5,0.6115675596644242
0,Our_emb_seed2,Glimmer,Completeness,7,0.6346811139784243
0,Our_emb_seed2,Glimmer,Completeness,8,0.6181676428584165
0,Our_emb_seed2,Glimmer,Completeness,10,0.5865422949742788
0,Our_emb_seed2,Glimmer,Homogeneity,5,0.5089019676834243
0,Our_emb_seed2,Glimmer,Homogeneity,7,0.6481598746739958
0,Our_emb_seed2,Glimmer,Homogeneity,8,0.6485254413008793
0,Our_emb_seed2,Glimmer,Homogeneity,10,0.6654309235285027
0,Our_emb_seed2,Glimmer,NMI,5,0.5555312784297706
0,Our_emb_seed2,Glimmer,NMI,7,0.6413496839173225
0,Our_emb_seed2,Glimmer,NMI,8,0.6329827618009845
0,Our_emb_seed2,Glimmer,NMI,10,0.6235011488870941
0,Our_emb_seed3,Glimmer,ARI,5,0.490870845792336
0,Our_emb_seed3,Glimmer,ARI,7,0.4780117891860473
0,Our_emb_seed3,Glimmer,ARI,8,0.5270785424079647
0,Our_emb_seed3,Glimmer,ARI,9,0.4512720600342106
0,Our_emb_seed3,Glimmer,Completeness,5,0.6472260408180519
0,Our_emb_seed3,Glimmer,Completeness,7,0.5860207606549013
0,Our_emb_seed3,Glimmer,Completeness,8,0.5997225599115311
0,Our_emb_seed3,Glimmer,Completeness,9,0.5593641019832255
0,Our_emb_seed3,Glimmer,Homogeneity,5,0.5283794850440536
0,Our_emb_seed3,Glimmer,Homogeneity,7,0.6031222605173445
0,Our_emb_seed3,Glimmer,Homogeneity,8,0.6511074031963046
0,Our_emb_seed3,Glimmer,Homogeneity,9,0.6248558462417452
0,Our_emb_seed3,Glimmer,NMI,5,0.5817954315989785
0,Our_emb_seed3,Glimmer,NMI,7,0.5944485391300667
0,Our_emb_seed3,Glimmer,NMI,8,0.6243595215004825
0,Our_emb_seed3,Glimmer,NMI,9,0.5901315007684345
0,Our_emb_seed4,Glimmer,ARI,6,0.6506813188592189
0,Our_emb_seed4,Glimmer,ARI,7,0.5496265418895113
0,Our_emb_seed4,Glimmer,ARI,9,0.5716032792466528
0,Our_emb_seed4,Glimmer,Completeness,6,0.7024764965493684
0,Our_emb_seed4,Glimmer,Completeness,7,0.6349283360955652
0,Our_emb_seed4,Glimmer,Completeness,9,0.6249774115248959
0,Our_emb_seed4,Glimmer,Homogeneity,6,0.6475163678532048
0,Our_emb_seed4,Glimmer,Homogeneity,7,0.6473062196129536
0,Our_emb_seed4,Glimmer,Homogeneity,9,0.6710902192309204
0,Our_emb_seed4,Glimmer,NMI,6,0.6738776797152741
0,Our_emb_seed4,Glimmer,NMI,7,0.641057533714746
0,Our_emb_seed4,Glimmer,NMI,9,0.647213491274415
0,Our_emb_seed5,Glimmer,ARI,5,0.5204573747815103
0,Our_emb_seed5,Glimmer,ARI,7,0.5359768228051173
0,Our_emb_seed5,Glimmer,ARI,8,0.5209264992475449
0,Our_emb_seed5,Glimmer,Completeness,5,0.6557153280166885
0,Our_emb_seed5,Glimmer,Completeness,7,0.6274446478733662
0,Our_emb_seed5,Glimmer,Completeness,8,0.6053662958451047
0,Our_emb_seed5,Glimmer,Homogeneity,5,0.5453651214149614
0,Our_emb_seed5,Glimmer,Homogeneity,7,0.64217431740297
0,Our_emb_seed5,Glimmer,Homogeneity,8,0.6461926224969103
0,Our_emb_seed5,Glimmer,NMI,5,0.5954709689041905
0,Our_emb_seed5,Glimmer,NMI,7,0.634724038433889
0,Our_emb_seed5,Glimmer,NMI,8,0.6250692499568269
0,SCANIT_emb_seed1,SCANIT,ARI,7,0.4667517757017994
0,SCANIT_emb_seed1,SCANIT,ARI,9,0.4555690176766728
0,SCANIT_emb_seed1,SCANIT,ARI,10,0.4120737583328662
0,SCANIT_emb_seed1,SCANIT,Completeness,7,0.5560773028641098
0,SCANIT_emb_seed1,SCANIT,Completeness,9,0.5547311721502027
0,SCANIT_emb_seed1,SCANIT,Completeness,10,0.5177955832475041
0,SCANIT_emb_seed1,SCANIT,Homogeneity,7,0.5678055988790122
0,SCANIT_emb_seed1,SCANIT,Homogeneity,9,0.6205993191793439
0,SCANIT_emb_seed1,SCANIT,Homogeneity,10,0.6281539147509609
0,SCANIT_emb_seed1,SCANIT,NMI,7,0.5618794381388802
0,SCANIT_emb_seed1,SCANIT,NMI,9,0.5858195465932957
0,SCANIT_emb_seed1,SCANIT,NMI,10,0.5676608318704677
0,SCANIT_emb_seed2,SCANIT,ARI,7,0.3369372623641738
0,SCANIT_emb_seed2,SCANIT,ARI,8,0.3525472320208985
0,SCANIT_emb_seed2,SCANIT,ARI,10,0.379025664297133
0,SCANIT_emb_seed2,SCANIT,Completeness,7,0.4782451715193224
0,SCANIT_emb_seed2,SCANIT,Completeness,8,0.4968306780522242
0,SCANIT_emb_seed2,SCANIT,Completeness,10,0.4868980652397202
0,SCANIT_emb_seed2,SCANIT,Homogeneity,7,0.4687056336378339
0,SCANIT_emb_seed2,SCANIT,Homogeneity,8,0.5168476172148088
0,SCANIT_emb_seed2,SCANIT,Homogeneity,10,0.5689821629876549
0,SCANIT_emb_seed2,SCANIT,NMI,7,0.473427352150564
0,SCANIT_emb_seed2,SCANIT,NMI,8,0.5066415120250056
0,SCANIT_emb_seed2,SCANIT,NMI,10,0.5247177481708611
0,SCANIT_emb_seed3,SCANIT,ARI,6,0.4309089492878851
0,SCANIT_emb_seed3,SCANIT,ARI,8,0.5044113830542905
0,SCANIT_emb_seed3,SCANIT,ARI,10,0.4389359636263016
0,SCANIT_emb_seed3,SCANIT,Completeness,6,0.5753773737788371
0,SCANIT_emb_seed3,SCANIT,Completeness,8,0.5845310338225914
0,SCANIT_emb_seed3,SCANIT,Completeness,10,0.5471858978239579
0,SCANIT_emb_seed3,SCANIT,Homogeneity,6,0.5382651321945671
0,SCANIT_emb_seed3,SCANIT,Homogeneity,8,0.6389108823240692
0,SCANIT_emb_seed3,SCANIT,Homogeneity,10,0.6519859829434458
0,SCANIT_emb_seed3,SCANIT,NMI,6,0.5561992733915474
0,SCANIT_emb_seed3,SCANIT,NMI,8,0.6105124133369788
0,SCANIT_emb_seed3,SCANIT,NMI,10,0.5950065060185367
0,SCANIT_emb_seed4,SCANIT,ARI,7,0.4603254955551252
0,SCANIT_emb_seed4,SCANIT,ARI,9,0.4708350965612695
0,SCANIT_emb_seed4,SCANIT,ARI,10,0.4198049510739338
0,SCANIT_emb_seed4,SCANIT,Completeness,7,0.5680911083672571
0,SCANIT_emb_seed4,SCANIT,Completeness,9,0.5597454547797549
0,SCANIT_emb_seed4,SCANIT,Completeness,10,0.52454739562833
0,SCANIT_emb_seed4,SCANIT,Homogeneity,7,0.565943727107888
0,SCANIT_emb_seed4,SCANIT,Homogeneity,9,0.6209620777367397
0,SCANIT_emb_seed4,SCANIT,Homogeneity,10,0.6272991854615123
0,SCANIT_emb_seed4,SCANIT,NMI,7,0.5670153836573322
0,SCANIT_emb_seed4,SCANIT,NMI,9,0.5887668047021241
0,SCANIT_emb_seed4,SCANIT,NMI,10,0.5713402451605554
0,SCANIT_emb_seed5,SCANIT,ARI,6,0.3403220473357542
0,SCANIT_emb_seed5,SCANIT,ARI,7,0.3354302510626604
0,SCANIT_emb_seed5,SCANIT,ARI,9,0.3901898909761442
0,SCANIT_emb_seed5,SCANIT,ARI,10,0.3929956002401002
0,SCANIT_emb_seed5,SCANIT,Completeness,6,0.5201221544598772
0,SCANIT_emb_seed5,SCANIT,Completeness,7,0.496409095515826
0,SCANIT_emb_seed5,SCANIT,Completeness,9,0.5166899710701807
0,SCANIT_emb_seed5,SCANIT,Completeness,10,0.5128871491142036
0,SCANIT_emb_seed5,SCANIT,Homogeneity,6,0.475533900670919
0,SCANIT_emb_seed5,SCANIT,Homogeneity,7,0.5017163419857903
0,SCANIT_emb_seed5,SCANIT,Homogeneity,9,0.5826902058292056
0,SCANIT_emb_seed5,SCANIT,Homogeneity,10,0.6088547977327021
0,SCANIT_emb_seed5,SCANIT,NMI,6,0.4968296344126103
0,SCANIT_emb_seed5,SCANIT,NMI,7,0.4990486088684053
0,SCANIT_emb_seed5,SCANIT,NMI,9,0.5477044760511667
0,SCANIT_emb_seed5,SCANIT,NMI,10,0.5567658449635378
0,SPIN_emb_seed1,SPIN,ARI,6,0.4658947447080059
0,SPIN_emb_seed1,SPIN,ARI,7,0.4800838464410361
0,SPIN_emb_seed1,SPIN,ARI,8,0.492184710346777
0,SPIN_emb_seed1,SPIN,ARI,9,0.49537319985156
0,SPIN_emb_seed1,SPIN,Completeness,6,0.6119175838576081
0,SPIN_emb_seed1,SPIN,Completeness,7,0.5877322549915781
0,SPIN_emb_seed1,SPIN,Completeness,8,0.5841432358923724
0,SPIN_emb_seed1,SPIN,Completeness,9,0.5760228374019278
0,SPIN_emb_seed1,SPIN,Homogeneity,6,0.5223250319522883
0,SPIN_emb_seed1,SPIN,Homogeneity,7,0.5954112192438784
0,SPIN_emb_seed1,SPIN,Homogeneity,8,0.6150661791898168
0,SPIN_emb_seed1,SPIN,Homogeneity,9,0.6326924811335022
0,SPIN_emb_seed1,SPIN,NMI,6,0.5635829003169138
0,SPIN_emb_seed1,SPIN,NMI,7,0.5915468177003997
0,SPIN_emb_seed1,SPIN,NMI,8,0.5992060163658292
