Model,FOV,Metric,Num_Clusters,Dissimilarity_Score
Glimmer (Cell),39-40,Jensen-Shannon Divergence,7,0.5296536943940697
Glimmer (Cell),41-42,Cosine Distance,5,0.6529082856275169
Glimmer (Cell),41-42,Cosine Distance,6,0.6743025499557312
Glimmer (Cell),41-42,Cosine Distance,7,0.6201440326236415
Glimmer (Cell),41-42,Jensen-Shannon Divergence,5,0.4685470365810943
Glimmer (Cell),41-42,Jensen-Shannon Divergence,6,0.4895548377390748
Glimmer (Cell),41-42,Jensen-Shannon Divergence,7,0.44820628195417717
Glimmer (Cell),43-44,Cosine Distance,5,0.6044358908794738
Glimmer (Cell),43-44,Cosine Distance,6,0.6105066634370004
Glimmer (Cell),43-44,Cosine Distance,7,0.6071605602210872
Glimmer (Cell),43-44,Jensen-Shannon Divergence,5,0.44845456424282004
Glimmer (Cell),43-44,Jensen-Shannon Divergence,6,0.461006125510115
Glimmer (Cell),43-44,Jensen-Shannon Divergence,7,0.4457794390159619
Glimmer (Cell),7-8,Cosine Distance,5,0.6312347735956461
Glimmer (Cell),7-8,Cosine Distance,6,0.6582573850127652
Glimmer (Cell),7-8,Cosine Distance,7,0.6254348508930533
Glimmer (Cell),7-8,Jensen-Shannon Divergence,5,0.46570293822039005
Glimmer (Cell),7-8,Jensen-Shannon Divergence,6,0.4917256979025149
Glimmer (Cell),7-8,Jensen-Shannon Divergence,7,0.4685111112441557
Glimmer (Cell),9-10,Cosine Distance,5,0.6200006575917171
Glimmer (Cell),9-10,Cosine Distance,6,0.6219244648198315
Glimmer (Cell),9-10,Cosine Distance,7,0.6294521294914224
Glimmer (Cell),9-10,Jensen-Shannon Divergence,5,0.48395747092191393
Glimmer (Cell),9-10,Jensen-Shannon Divergence,6,0.48113894154298126
Glimmer (Cell),9-10,Jensen-Shannon Divergence,7,0.47280000063813954
Xenium,10-11,Cosine Distance,5,0.3382384859797498
Xenium,10-11,Cosine Distance,6,0.3522523651977935
Xenium,10-11,Cosine Distance,7,0.35035609417241914
Xenium,10-11,Jensen-Shannon Divergence,5,0.32283539703843106
Xenium,10-11,Jensen-Shannon Divergence,6,0.3313498136207806
Xenium,10-11,Jensen-Shannon Divergence,7,0.33064312307643023
Xenium,13-14,Cosine Distance,5,0.26129100554751883
Xenium,13-14,Cosine Distance,6,0.2503055166095543
Xenium,13-14,Jensen-Shannon Divergence,5,0.2884045009640237
Xenium,13-14,Jensen-Shannon Divergence,6,0.27614525099232173
Xenium,15-16,Cosine Distance,5,0.2863847439159121
Xenium,15-16,Cosine Distance,6,0.2677552503104642
Xenium,15-16,Cosine Distance,7,0.27824720975600914
Xenium,15-16,Jensen-Shannon Divergence,5,0.3158450165576513
Xenium,15-16,Jensen-Shannon Divergence,6,0.2942196394153998
Xenium,15-16,Jensen-Shannon Divergence,7,0.3166558029547588
Xenium,17-18,Cosine Distance,5,0.36140290152091026
Xenium,17-18,Cosine Distance,6,0.31614818219026486
Xenium,17-18,Jensen-Shannon Divergence,5,0.35328333632273684
Xenium,17-18,Jensen-Shannon Divergence,6,0.3245588660063741
Xenium,21-22,Cosine Distance,5,0.38748861503673027
Xenium,21-22,Cosine Distance,7,0.3408671265240581
Xenium,21-22,Jensen-Shannon Divergence,5,0.34477560232880966
Xenium,21-22,Jensen-Shannon Divergence,7,0.3228789005030724
Xenium,23-24,Cosine Distance,5,0.2945451337333691
Xenium,23-24,Cosine Distance,7,0.3084050944351128
Xenium,23-24,Jensen-Shannon Divergence,5,0.3044818589846387
Xenium,23-24,Jensen-Shannon Divergence,7,0.317527741165246
Xenium,27-28,Cosine Distance,5,0.3391643685973167
Xenium,27-28,Cosine Distance,7,0.3224660156133533
Xenium,27-28,Jensen-Shannon Divergence,5,0.33462345310087427
Xenium,27-28,Jensen-Shannon Divergence,7,0.32773371567969967
Xenium,29-30,Cosine Distance,5,0.25543284586459875
Xenium,29-30,Cosine Distance,7,0.2782575784276024
Xenium,29-30,Jensen-Shannon Divergence,5,0.3015470067115041
Xenium,29-30,Jensen-Shannon Divergence,7,0.3097149197815031
Xenium,31-32,Cosine Distance,5,0.3651974901559255
Xenium,31-32,Cosine Distance,6,0.3156777022162942
Xenium,31-32,Cosine Distance,7,0.36358931315458715
Xenium,31-32,Jensen-Shannon Divergence,5,0.3416693625728232
Xenium,31-32,Jensen-Shannon Divergence,6,0.31138261317907784
Xenium,31-32,Jensen-Shannon Divergence,7,0.33708939573141306
Xenium,33-34,Cosine Distance,5,0.2983982045214846
Xenium,33-34,Cosine Distance,6,0.25630913359874247
Xenium,33-34,Jensen-Shannon Divergence,5,0.30670042853432933
Xenium,33-34,Jensen-Shannon Divergence,6,0.2907425292509961
Xenium,39-40,Cosine Distance,5,0.3751295380649144
Xenium,39-40,Cosine Distance,6,0.32961977965708056
Xenium,39-40,Cosine Distance,7,0.33909266998602355
Xenium,39-40,Jensen-Shannon Divergence,5,0.3455048467352669
Xenium,39-40,Jensen-Shannon Divergence,6,0.32524790859062613
Xenium,39-40,Jensen-Shannon Divergence,7,0.3384271814164599
Xenium,41-42,Cosine Distance,5,0.3408367462043574
Xenium,41-42,Cosine Distance,6,0.32359270142275937
Xenium,41-42,Cosine Distance,7,0.3320733345391596
Xenium,41-42,Jensen-Shannon Divergence,5,0.31429429119295715
Xenium,41-42,Jensen-Shannon Divergence,6,0.297749260046099
Xenium,41-42,Jensen-Shannon Divergence,7,0.31082340126572855
Xenium,43-44,Cosine Distance,5,0.253744862737865
Xenium,43-44,Cosine Distance,6,0.24524547274595018
Xenium,43-44,Cosine Distance,7,0.27636006432395915
Xenium,43-44,Jensen-Shannon Divergence,5,0.2897750102591285
Xenium,43-44,Jensen-Shannon Divergence,6,0.27749809877053444
Xenium,43-44,Jensen-Shannon Divergence,7,0.2958265294743284
Xenium,7-8,Cosine Distance,5,0.3568249791189634
Xenium,7-8,Cosine Distance,6,0.3386085000673127
Xenium,7-8,Cosine Distance,7,0.3440228517576829
Xenium,7-8,Jensen-Shannon Divergence,5,0.3378540523667515
Xenium,7-8,Jensen-Shannon Divergence,6,0.3275262550127985
Xenium,7-8,Jensen-Shannon Divergence,7,0.33931015237451295
Xenium,9-10,Cosine Distance,5,0.3777460527312545
Xenium,9-10,Cosine Distance,6,0.35743987919421727
Xenium,9-10,Cosine Distance,7,0.36292250070540794
Xenium,9-10,Jensen-Shannon Divergence,5,0.35309961630090336
Xenium,9-10,Jensen-Shannon Divergence,6,0.3431762513380625
Xenium,9-10,Jensen-Shannon Divergence,7,0.3468193522808022
