Model,FOV,Metric,Num_Clusters,Dissimilarity_Score
Baysor (NCV),7-8,Cosine Distance,6,0.5292960342672531
Baysor (NCV),7-8,Cosine Distance,7,0.5010930952844987
Baysor (NCV),7-8,Jensen-Shannon Divergence,5,0.38824241092290596
Baysor (NCV),7-8,Jensen-Shannon Divergence,6,0.44854644201923777
Baysor (NCV),7-8,Jensen-Shannon Divergence,7,0.4334233753833165
Baysor (NCV),9-10,Cosine Distance,5,0.4939047722831885
Baysor (NCV),9-10,Cosine Distance,6,0.6013230971279142
Baysor (NCV),9-10,Cosine Distance,7,0.5559844247940712
Baysor (NCV),9-10,Jensen-Shannon Divergence,5,0.4429616770732764
Baysor (NCV),9-10,Jensen-Shannon Divergence,6,0.4927402080055555
Baysor (NCV),9-10,Jensen-Shannon Divergence,7,0.4729839448793114
Cellpose,10-11,Cosine Distance,5,0.4076086938895587
Cellpose,10-11,Cosine Distance,7,0.4159589483279483
Cellpose,10-11,Jensen-Shannon Divergence,5,0.35394636516944383
Cellpose,10-11,Jensen-Shannon Divergence,7,0.3609364494928617
Cellpose,13-14,Cosine Distance,5,0.33555449672637894
Cellpose,13-14,Cosine Distance,6,0.30900136469923284
Cellpose,13-14,Cosine Distance,7,0.2870784547526611
Cellpose,13-14,Jensen-Shannon Divergence,5,0.32136594712369704
Cellpose,13-14,Jensen-Shannon Divergence,6,0.3075261522373174
Cellpose,13-14,Jensen-Shannon Divergence,7,0.3006423904706363
Cellpose,15-16,Cosine Distance,5,0.32242958586082354
Cellpose,15-16,Cosine Distance,6,0.3444091222257559
Cellpose,15-16,Cosine Distance,7,0.29944424382969564
Cellpose,15-16,Jensen-Shannon Divergence,5,0.3350092894934389
Cellpose,15-16,Jensen-Shannon Divergence,6,0.33550090653242465
Cellpose,15-16,Jensen-Shannon Divergence,7,0.3082940628499204
Cellpose,17-18,Cosine Distance,5,0.3414439036518241
Cellpose,17-18,Cosine Distance,6,0.3544868317198013
Cellpose,17-18,Cosine Distance,7,0.36309583671294576
Cellpose,17-18,Jensen-Shannon Divergence,5,0.3444503234424985
Cellpose,17-18,Jensen-Shannon Divergence,6,0.3456758835860112
Cellpose,17-18,Jensen-Shannon Divergence,7,0.35404439873634397
Cellpose,21-22,Cosine Distance,5,0.4013738260019917
Cellpose,21-22,Cosine Distance,7,0.3685266263838917
Cellpose,21-22,Jensen-Shannon Divergence,5,0.34975961509114606
Cellpose,21-22,Jensen-Shannon Divergence,7,0.33672343317525577
Cellpose,23-24,Cosine Distance,5,0.2817290505653341
Cellpose,23-24,Cosine Distance,6,0.26738203994724014
Cellpose,23-24,Cosine Distance,7,0.2546189409730804
Cellpose,23-24,Jensen-Shannon Divergence,5,0.28296770582911157
Cellpose,23-24,Jensen-Shannon Divergence,6,0.2821120945608897
Cellpose,23-24,Jensen-Shannon Divergence,7,0.2771011132338347
Cellpose,27-28,Cosine Distance,5,0.43969444051011813
Cellpose,27-28,Cosine Distance,7,0.35161756106202735
Cellpose,27-28,Jensen-Shannon Divergence,5,0.3781929512528131
Cellpose,27-28,Jensen-Shannon Divergence,7,0.3356868604269356
Cellpose,29-30,Cosine Distance,5,0.3070904605489485
Cellpose,29-30,Cosine Distance,6,0.31787494765232743
Cellpose,29-30,Cosine Distance,7,0.3377626538527949
Cellpose,29-30,Jensen-Shannon Divergence,5,0.3213867416287119
Cellpose,29-30,Jensen-Shannon Divergence,6,0.33017300185998705
Cellpose,29-30,Jensen-Shannon Divergence,7,0.3382773673842303
Cellpose,31-32,Cosine Distance,5,0.3107591410401159
Cellpose,31-32,Cosine Distance,6,0.30323676977767244
Cellpose,31-32,Cosine Distance,7,0.33629060680426837
Cellpose,31-32,Jensen-Shannon Divergence,5,0.30022776452316
Cellpose,31-32,Jensen-Shannon Divergence,6,0.300109839864404
Cellpose,31-32,Jensen-Shannon Divergence,7,0.3199518965542553
Cellpose,33-34,Cosine Distance,5,0.25431907522925506
Cellpose,33-34,Cosine Distance,6,0.23513148962072822
Cellpose,33-34,Cosine Distance,7,0.23222301517320543
Cellpose,33-34,Jensen-Shannon Divergence,5,0.27948323830662647
Cellpose,33-34,Jensen-Shannon Divergence,6,0.2764511317402393
Cellpose,33-34,Jensen-Shannon Divergence,7,0.26800094952237974
Cellpose,39-40,Cosine Distance,5,0.3983288094329606
Cellpose,39-40,Cosine Distance,6,0.38715760552303713
Cellpose,39-40,Cosine Distance,7,0.3793655211797192
Cellpose,39-40,Jensen-Shannon Divergence,5,0.3616320809314729
Cellpose,39-40,Jensen-Shannon Divergence,6,0.35772199381692027
Cellpose,39-40,Jensen-Shannon Divergence,7,0.3474512540477813
Cellpose,41-42,Cosine Distance,5,0.34698031269162655
Cellpose,41-42,Cosine Distance,6,0.3427169535320433
Cellpose,41-42,Cosine Distance,7,0.30488937363228474
Cellpose,41-42,Jensen-Shannon Divergence,5,0.3216553135609445
Cellpose,41-42,Jensen-Shannon Divergence,6,0.3174187211580459
Cellpose,41-42,Jensen-Shannon Divergence,7,0.2974762261442091
Cellpose,43-44,Cosine Distance,5,0.2057201945972924
Cellpose,43-44,Cosine Distance,6,0.27624719824377164
Cellpose,43-44,Cosine Distance,7,0.26712144569781754
Cellpose,43-44,Jensen-Shannon Divergence,5,0.2507674069168088
Cellpose,43-44,Jensen-Shannon Divergence,6,0.29459563630279806
Cellpose,43-44,Jensen-Shannon Divergence,7,0.3086526538780556
Cellpose,7-8,Cosine Distance,5,0.40458871953705167
Cellpose,7-8,Cosine Distance,6,0.40185503340041706
Cellpose,7-8,Cosine Distance,7,0.4039919726823721
Cellpose,7-8,Jensen-Shannon Divergence,5,0.36040379179850923
Cellpose,7-8,Jensen-Shannon Divergence,6,0.36022680588110334
Cellpose,7-8,Jensen-Shannon Divergence,7,0.36443085275166287
Cellpose,9-10,Cosine Distance,5,0.39881290473892506
Cellpose,9-10,Cosine Distance,6,0.4354376569674195
Cellpose,9-10,Cosine Distance,7,0.42591404827000257
Cellpose,9-10,Jensen-Shannon Divergence,5,0.3597854951159809
Cellpose,9-10,Jensen-Shannon Divergence,6,0.37644352689199345
Cellpose,9-10,Jensen-Shannon Divergence,7,0.3720848003744814
FICTURE (Hexagon),10-11,Cosine Distance,5,0.190356087239955
FICTURE (Hexagon),10-11,Cosine Distance,6,0.18582006591976014
FICTURE (Hexagon),10-11,Cosine Distance,7,0.17687162435563727
FICTURE (Hexagon),10-11,Jensen-Shannon Divergence,5,0.240149072737655
FICTURE (Hexagon),10-11,Jensen-Shannon Divergence,6,0.2396762679397089
FICTURE (Hexagon),10-11,Jensen-Shannon Divergence,7,0.2293868366515236
FICTURE (Hexagon),13-14,Cosine Distance,5,0.16547856447254333
FICTURE (Hexagon),13-14,Cosine Distance,6,0.14565501580866816
FICTURE (Hexagon),13-14,Cosine Distance,7,0.13752292964575097
FICTURE (Hexagon),13-14,Jensen-Shannon Divergence,5,0.2379570314763127
FICTURE (Hexagon),13-14,Jensen-Shannon Divergence,6,0.22833036863453188
FICTURE (Hexagon),13-14,Jensen-Shannon Divergence,7,0.22135534616257
FICTURE (Hexagon),15-16,Cosine Distance,5,0.17560010004344617
FICTURE (Hexagon),15-16,Cosine Distance,6,0.1497254987317489
FICTURE (Hexagon),15-16,Cosine Distance,7,0.16507492535244614
FICTURE (Hexagon),15-16,Jensen-Shannon Divergence,5,0.25892538820515754
FICTURE (Hexagon),15-16,Jensen-Shannon Divergence,6,0.23746794130110122
FICTURE (Hexagon),15-16,Jensen-Shannon Divergence,7,0.24937029404291783
FICTURE (Hexagon),17-18,Cosine Distance,5,0.12646872434644313
FICTURE (Hexagon),17-18,Cosine Distance,6,0.10690809476673938
FICTURE (Hexagon),17-18,Cosine Distance,7,0.1112626065347148
FICTURE (Hexagon),17-18,Jensen-Shannon Divergence,5,0.22692869680261823
FICTURE (Hexagon),17-18,Jensen-Shannon Divergence,6,0.20232984108851446
FICTURE (Hexagon),17-18,Jensen-Shannon Divergence,7,0.20783394109688133
FICTURE (Hexagon),21-22,Cosine Distance,5,0.13785134203549432
FICTURE (Hexagon),21-22,Cosine Distance,6,0.13703158666654863
FICTURE (Hexagon),21-22,Cosine Distance,7,0.14100200866571638
FICTURE (Hexagon),21-22,Jensen-Shannon Divergence,5,0.2138193915891024
FICTURE (Hexagon),21-22,Jensen-Shannon Divergence,6,0.2142816838284741
FICTURE (Hexagon),21-22,Jensen-Shannon Divergence,7,0.20994302966277123
FICTURE (Hexagon),23-24,Cosine Distance,5,0.13677024247426303
FICTURE (Hexagon),23-24,Cosine Distance,6,0.12874970948757003
FICTURE (Hexagon),23-24,Cosine Distance,7,0.11397989315709053
FICTURE (Hexagon),23-24,Jensen-Shannon Divergence,5,0.21597653116647372
FICTURE (Hexagon),23-24,Jensen-Shannon Divergence,6,0.2070856881000729
FICTURE (Hexagon),23-24,Jensen-Shannon Divergence,7,0.1876381670875584
FICTURE (Hexagon),27-28,Cosine Distance,5,0.12817970735206094
FICTURE (Hexagon),27-28,Cosine Distance,6,0.12032647335295875
FICTURE (Hexagon),27-28,Cosine Distance,7,0.11535139421211202
FICTURE (Hexagon),27-28,Jensen-Shannon Divergence,5,0.2140657559821495
FICTURE (Hexagon),27-28,Jensen-Shannon Divergence,6,0.20459883341851623
FICTURE (Hexagon),27-28,Jensen-Shannon Divergence,7,0.20156879534182928
FICTURE (Hexagon),29-30,Cosine Distance,5,0.1362532473657591
FICTURE (Hexagon),29-30,Cosine Distance,6,0.1364551322602562
FICTURE (Hexagon),29-30,Cosine Distance,7,0.12253894246037454
FICTURE (Hexagon),29-30,Jensen-Shannon Divergence,5,0.22778104562388873
FICTURE (Hexagon),29-30,Jensen-Shannon Divergence,6,0.226247310285354
FICTURE (Hexagon),29-30,Jensen-Shannon Divergence,7,0.21332473115060105
FICTURE (Hexagon),31-32,Cosine Distance,5,0.15052015345880482
FICTURE (Hexagon),31-32,Cosine Distance,6,0.13219892647285184
FICTURE (Hexagon),31-32,Cosine Distance,7,0.12908084852942914
FICTURE (Hexagon),31-32,Jensen-Shannon Divergence,5,0.22435246991259375
FICTURE (Hexagon),31-32,Jensen-Shannon Divergence,6,0.21224462429916333
FICTURE (Hexagon),31-32,Jensen-Shannon Divergence,7,0.2069498725676993
FICTURE (Hexagon),33-34,Cosine Distance,5,0.14230541832924648
FICTURE (Hexagon),33-34,Cosine Distance,6,0.14409663874946618
FICTURE (Hexagon),33-34,Cosine Distance,7,0.12789864105600723
FICTURE (Hexagon),33-34,Jensen-Shannon Divergence,5,0.21353124794451298
FICTURE (Hexagon),33-34,Jensen-Shannon Divergence,6,0.21227894709597558
FICTURE (Hexagon),33-34,Jensen-Shannon Divergence,7,0.20352976023291824
FICTURE (Hexagon),39-40,Cosine Distance,5,0.15376465850383572
FICTURE (Hexagon),39-40,Cosine Distance,6,0.1362147893283284
FICTURE (Hexagon),39-40,Cosine Distance,7,0.1258433381679391
FICTURE (Hexagon),39-40,Jensen-Shannon Divergence,5,0.2202555449873088
FICTURE (Hexagon),39-40,Jensen-Shannon Divergence,6,0.2119533579637669
FICTURE (Hexagon),39-40,Jensen-Shannon Divergence,7,0.19991381577468811
FICTURE (Hexagon),41-42,Cosine Distance,5,0.16953335878589554
FICTURE (Hexagon),41-42,Cosine Distance,6,0.1483352068117832
